Date,Content,Comment
2024-04-10,https://boxd.it/6fnZQr,i love cronenberg. you should see <i>Crimes of the Future</i>
2024-04-12,https://boxd.it/6g7Qg7,"it's compelling, that's for sure"
2024-04-12,https://boxd.it/6gehlP,what do you know about acid?
2024-04-15,https://boxd.it/6gb2vz,Worth seeing in IMAX for the massive frame of Stephen McKinley Henderson smoking a joint.
2024-04-22,https://boxd.it/6kdcfB,half a star plus a like
2024-04-23,https://boxd.it/6ktgIT,you don’t like shakespeare?
2024-04-26,https://boxd.it/6lsaM3,"lmao it's Darren Aronofsky, the same mind that came up with <I>Mother!</I>"
2024-05-01,https://boxd.it/6nrWTR,"""Abed, show him you Don Draper""

Abed: ""Cigarettes"""
2024-05-22,https://boxd.it/6wrnft,I feel this way about most Gaspar Noé films
2024-06-06,https://boxd.it/6Cofd3,"if you liked this, Art the Clown is featured in the <i>Terrifier</i> series which is pretty sick-in-the-head shit"
2024-06-23,https://boxd.it/6If6mL,❤️
2024-06-23,https://boxd.it/6Ia4hf,bro the ending is so bleak
2024-06-28,https://boxd.it/6LfrIb,i'm in NYC and it's my first time visiting. what's up with the 6 train?
2024-07-01,https://boxd.it/6Mo7ul,SARNOSKI SUPREMACY
2024-07-02,https://boxd.it/6MVMDp,is <i>Batman Begins</i> a happy movie?
2024-07-13,https://boxd.it/6ReRSD,love this
2024-07-15,https://boxd.it/6Rd87P,"yeah i agree, there’s a bit of a lack of trust in the audience to not “get it” 

i do love the style though. really cool"
2024-07-21,https://boxd.it/6Vn9wd,You could
2024-07-25,https://boxd.it/6VRcuf,lmao i love your review
2024-07-26,https://boxd.it/6XERXT,i will rewatch any time
2024-08-04,https://boxd.it/71qy8P,I got so excited when I saw Allison Pill's name in the title cards. 
2024-08-04,https://boxd.it/71qy8P,I've been a fan of Allison Pill since SCOTT PILGIRM and her performance is pitch perfect in this film. I wouldn't say any more to avoid getting into spoiler territory.
2024-08-18,https://boxd.it/77CnVp,the best movies you've seen in your life were when you were a teenager.
2024-08-27,https://boxd.it/77llof,Mississippi Film Society
2024-08-28,https://boxd.it/7c9EB9,happy belated birthday!
2024-09-12,https://boxd.it/7iTPsD,"I've learned over the years that the audience can warn you if a movie is bad. I remember realizing this with the Shyamalan movie we do not name. I swear to god there was a paper airplane that was thrown around in the auditorium because everyone in the room completely lost interest and returned to schooltime shenanigans of attention-seeking.

I don't want to assume <i>My Old Ass</I> is bad because I simply was not drawn to it. It seems like it was made by competent filmmakers supported by people who worked to pitch the movie without giving it all away in the trailer. I'm not convinced a Secret Movie Series featuring only new releases is going to be enough to keep me coming to these events if the audience is going to be so... lowest common denominator."
2024-09-30,https://boxd.it/7r0PgD,this movie affected me for similar reasons. my mom raised me on her own for 6+ years until my adoptive father came along. i admire her for what she did for me at the beginning.
2024-10-07,https://boxd.it/7uBA5B,i feel the same way
2024-10-09,https://boxd.it/7vzVhj,"It saddens me that there is no recognition of the source material which is a children's book series from author Peter Brown. I do hope that DreamWorks continues with the trilogy, though! "
2024-10-22,https://boxd.it/7AZrWN,I'd love to watch <i>Babylon</i> with you sometime. It's a 3hr runtime but we can make an event of it. It's one of my favorite movies about movies about movies and acting.
2024-10-29,https://boxd.it/59gEXZ,@garrtt i wish i had know this when we were together in person. i would have loved to talk about this one for a bit
2024-10-31,https://boxd.it/7GvJjj,honored to be tagged
2024-11-06,https://boxd.it/7JCEAZ,"i felt compelled to finish this after starting it, but it took me many days to complete it. von Trier is such a traumatizing filmmaker."
2024-11-06,https://boxd.it/7JyB8l,the proof is in the pudding!
2024-11-06,https://boxd.it/7K1rWD,"The long take ending.... how do I reconcile my strong emotional response to that moment with the criticism that this film is shallow? 

I think it's definitely a dark comedy, but I'd challenge you to really pay attention to Carmichael's character on a second watch... he taught me a lot in this performance. My belief is that you'll come away with a deeper appreciation of masculinity, responsibility, and making decisions in this complex world. "
2024-11-06,https://boxd.it/7K5mZZ,I find this hard to believe because I've seen <I>Uncut Gems</I>
2024-11-07,https://boxd.it/7Keixl,It certainly leaves an impression
2024-11-12,https://boxd.it/7N0WG7,glad to hear it. i was struck like a bell
2024-12-08,https://boxd.it/7ZXxPf,great flick
2024-12-13,https://boxd.it/82rIA9,"one of my coworkers liked it. i had invited him to a free screening that was happening at the local cinema. i think he knew exactly what it was, and he had a lot of fun with his wife and son. 

even if it's a flop, i'm glad he had a good time. i hope the cast and crew did, too."
2024-12-26,https://boxd.it/89ygPn,my heart
2025-01-04,https://boxd.it/8iZzdx,I go to church every GOD DAMN Sunday
2025-01-13,https://boxd.it/8sp4l9,that frogger scene was so scary
2025-01-24,https://boxd.it/8Apn15,bro the academy will never
2025-01-31,https://boxd.it/8CEirl,"seems the AI use here was actually related to bits of dialogue audio — unless you’ve seen different reporting

Source: https://www.hollywoodreporter.com/movies/movie-news/the-brutalist-ai-backlash-adrien-brody-1236113015/?link_source=ta_thread_link&taid=678e9d5880c6f200015c523b&utm_campaign=trueanthem&utm_medium=social&utm_source=threads"
2025-02-03,https://boxd.it/8HKNqZ,that Johnny Cash was hot 🔥
2025-02-09,https://boxd.it/8MfMDL,protect young neil
2025-02-10,https://boxd.it/8MC0Kv,"i'm so gay, i read this and thought ""Aaron Taylor-Johnson isn't in this movie"" and then realized my bias "
2025-02-20,https://boxd.it/8TajlL,legendary
