Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-05-10,The Babadook,2014,https://boxd.it/1QSkaz,4,,,2021-05-09
2021-05-12,The Truman Show,1998,https://boxd.it/1R6tH1,5,Yes,youtube,2021-05-11
2021-05-12,Scott Pilgrim vs. the World,2010,https://boxd.it/1R7DM3,4.5,Yes,in theaters,2021-05-11
2021-05-17,Popeye the Sailor Meets Sindbad the Sailor,1936,https://boxd.it/1RQ3bF,3.5,,mubi,2021-05-16
2021-05-18,Blade Runner 2049,2017,https://boxd.it/1RYjb3,5,Yes,,2021-05-17
2021-05-19,Saint Maud,2019,https://boxd.it/1S4LmP,1.5,,,2021-05-18
2021-05-20,R'ha,2013,https://boxd.it/1S8hRV,4,,dust,2021-05-19
2021-05-21,Eden,2018,https://boxd.it/1Sf3FZ,2.5,,dust,2021-05-20
2021-05-21,Arrival,2016,https://boxd.it/1SgWeV,4,Yes,,2021-05-20
2021-05-25,Army of the Dead,2021,https://boxd.it/1SP56T,2,,,2021-05-23
2021-05-28,First Reformed,2017,https://boxd.it/1TdC53,5,Yes,,2021-05-27
2021-06-01,The Assistant,2019,https://boxd.it/1TP3fX,4,,,2021-05-31
2021-06-03,Ring,1998,https://boxd.it/1U507N,4,,mubi,2021-06-02
2021-06-04,It's Okay,2020,https://boxd.it/1U7fGH,4,Yes,dust,2021-06-03
2021-06-05,Bo Burnham: Inside,2021,https://boxd.it/1UhdHt,5,,,2021-06-04
2021-06-06,A Quiet Place Part II,2020,https://boxd.it/1UsI29,3.5,,in theaters,2021-06-05
2021-06-07,Another Round,2020,https://boxd.it/1UEyMF,5,,,2021-06-06
2021-06-11,Blade Runner,1982,https://boxd.it/1V7oEf,5,Yes,"in theaters, jxnfilmclub, mattycakes",2021-06-10
2021-06-11,Blade Runner 2049,2017,https://boxd.it/1V8wh1,5,Yes,,2021-06-10
2021-06-12,The Holy Mountain,1973,https://boxd.it/1VbDTx,5,,mubi,2021-06-11
2021-06-12,Love Suicides,2009,https://boxd.it/1VeFBB,3,,mubi,2021-06-11
2021-06-13,The Wise Kids,2011,https://boxd.it/1Vo8gP,5,,mubi,2021-06-12
2021-06-15,Good Time,2017,https://boxd.it/1VBMi3,4,Yes,,2021-06-14
2021-06-17,Reign of Fire,2002,https://boxd.it/1VQ1eD,3,Yes,primevideo,2021-06-16
2021-06-17,The Fare,2018,https://boxd.it/1VSGGx,3,,primevideo,2021-06-16
2021-06-18,Correspondence,2020,https://boxd.it/1VWIRl,3,,mubi,2021-06-17
2021-06-19,50/50,2011,https://boxd.it/1W2wOL,4,,hulu,2021-06-18
2021-06-19,The Lighthouse,2016,https://boxd.it/1W51jN,2,,primevideo,2021-06-18
2021-06-19,The Descent,2005,https://boxd.it/1W6ukR,4,,primevideo,2021-06-18
2021-06-22,Midsommar,2019,https://boxd.it/1WtTwT,5,Yes,"4k, directors cut",2021-06-20
2021-06-22,Luca,2021,https://boxd.it/1WwX0N,5,,disney+,2021-06-21
2021-06-23,Run,2020,https://boxd.it/1WECjb,3,,hulu,2021-06-22
2021-06-23,Collateral Beauty,2016,https://boxd.it/1WFy6J,2.5,,primevideo,2021-06-22
2021-06-24,Ghost in the Shell,1995,https://boxd.it/1WJvAz,5,,youtube,2021-06-23
