Date,Name,Year,Letterboxd URI
2021-04-23,"Empathy, Inc.",2018,https://boxd.it/j3Ky
2021-04-24,The Devil Wears Prada,2006,https://boxd.it/2awE
2021-04-25,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6
2021-04-27,Fear & Shame,2017,https://boxd.it/gQLu
2021-04-30,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/nyLU
2021-05-03,Blade Runner,1982,https://boxd.it/2bcA
2021-05-10,A Man Called Ove,2015,https://boxd.it/bHuY
2021-05-10,The Babadook,2014,https://boxd.it/77xu
2021-05-11,The Sandlot,1993,https://boxd.it/1TDy
2021-05-17,Popeye the Sailor Meets Sindbad the Sailor,1936,https://boxd.it/2f70
2021-05-20,R'ha,2013,https://boxd.it/4Z46
2021-06-01,The Assistant,2019,https://boxd.it/neWo
2021-06-03,Ring,1998,https://boxd.it/26tw
2021-06-05,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2021-06-06,A Quiet Place Part II,2020,https://boxd.it/iTx0
2021-06-07,Another Round,2020,https://boxd.it/lkba
2021-06-08,Bo Burnham: Make Happy,2016,https://boxd.it/e436
2021-06-12,The Holy Mountain,1973,https://boxd.it/20mu
2021-06-14,The Wise Kids,2011,https://boxd.it/2Riq
2021-06-15,Searching,2018,https://boxd.it/hDPg
2021-06-17,The Fare,2018,https://boxd.it/lDEq
2021-06-19,50/50,2011,https://boxd.it/10Tw
2021-06-19,The Descent,2005,https://boxd.it/1YNy
2021-06-22,Luca,2021,https://boxd.it/ipjC
2021-06-23,Collateral Beauty,2016,https://boxd.it/bAIu
2021-06-23,The Village,2004,https://boxd.it/21iS
2021-06-24,Ghost in the Shell,1995,https://boxd.it/1YYc
2021-06-25,The Neon Demon,2016,https://boxd.it/9AnW
2021-06-26,Napoleon Dynamite,2004,https://boxd.it/20wu
2021-06-26,"Dude, Where's My Car?",2000,https://boxd.it/1ZJi
2021-06-26,F9,2021,https://boxd.it/dqsU
2021-06-30,Melancholia,2011,https://boxd.it/bPI
2021-07-03,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2021-07-09,Black Widow,2021,https://boxd.it/hWV8
2021-07-16,Loki,2021,https://boxd.it/sbHg
2021-07-18,Barb & Star Go to Vista Del Mar,2021,https://boxd.it/lX9M
2021-07-19,Little Monsters,2019,https://boxd.it/iarm
2021-07-23,Alien,1979,https://boxd.it/2awY
2021-07-25,The Gentlemen,2019,https://boxd.it/iYBQ
2021-07-25,Snake Eyes: G.I. Joe Origins,2021,https://boxd.it/kRf8
2021-07-30,The Green Knight,2021,https://boxd.it/kuy2
2021-08-04,Brick,2005,https://boxd.it/1Z6A
2021-08-04,Violet Evergarden: Eternity and the Auto Memory Doll,2019,https://boxd.it/mzze
2021-08-04,Midnight in Paris,2011,https://boxd.it/i4a
2021-08-11,The Ticket,2016,https://boxd.it/b2Kc
2021-08-14,Mirror,1975,https://boxd.it/28Q8
2021-08-14,Zach Galifianakis: Live at the Purple Onion,2007,https://boxd.it/1K40
2021-08-14,Grave of the Fireflies,1988,https://boxd.it/1RUM
2021-08-14,The Wicker Man,1973,https://boxd.it/1KnG
2021-08-29,Fast Five,2011,https://boxd.it/BgO
2021-08-30,Red Sparrow,2018,https://boxd.it/e7Pi
2021-08-30,Emma.,2020,https://boxd.it/kmg0
2021-09-02,Water for Elephants,2011,https://boxd.it/r02
2021-09-03,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-09-05,The Wolf of Snow Hollow,2020,https://boxd.it/oeu2
2021-09-06,Daniel Isn't Real,2019,https://boxd.it/jAx8
2021-09-07,I Am Mother,2019,https://boxd.it/ihNE
2021-09-07,The Karate Kid,1984,https://boxd.it/27Wk
2021-09-07,Lifeline,2018,https://boxd.it/mrQc
2021-09-09,The Matrix Reloaded,2003,https://boxd.it/2a1c
2021-09-13,Clueless,1995,https://boxd.it/1Ygk
2021-09-13,Monty Python and the Holy Grail,1975,https://boxd.it/29GI
2021-09-15,Stalker,1979,https://boxd.it/28PO
2021-09-18,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI
2021-09-18,Bill & Ted's Bogus Journey,1991,https://boxd.it/28oy
2021-09-20,All the Boys Are Called Patrick,1959,https://boxd.it/2J8s
2021-09-22,The Addams Family,1991,https://boxd.it/267g
2021-09-22,Koyaanisqatsi,1982,https://boxd.it/1U9E
